ano_campeonato,rodada,estadio,publico,publico_max,publico_medio_mandante,colocacao_mandante,colocacao_visitante,time_mandante,time_visitante,gols_mandante,gols_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,resultado_mandante,resultado_ultimo_jogo_mandante,saldo_gols_ultimo_jogo_mandante,sequencia_vitoria_mandante,sequencia_derrota_mandante,resultado_ultimo_jogo_visitante,saldo_gols_ultimo_jogo_visitante,sequencia_vitoria_visitante,sequencia_derrota_visitante
2017,4,MetLife Stadium,10577,21000,30398.5,10,8,Espanha,Coreia do Sul,0,0,22600000,9900000,0,-0,0,4,0,1,1,2,0
2017,5,Gillette Stadium,14403,22600,10304.666666666666,1,3,Irã,Equador,3,6,12050000,28300000,-1,1,2,5,0,1,2,1,0
2017,5,NRG Stadium,18917,55000,13469.333333333334,9,8,Holanda,Argélia,1,0,NA,NA,1,1,3,1,0,-1,-2,0,1
2017,5,BMO Field,12648,23018,16115.333333333334,16,14,República Tcheca,Haiti,1,0,32100000,5900000,1,-0,0,2,0,1,1,1,0
2017,5,GEHA Field at Arrowhead Stadium,12617,35000,6514,15,10,França,Portugal,2,0,15800000,26500000,1,-1,-1,0,1,0,0,5,0
2017,5,Estádio BBVA,1818,13500,8558,20,6,Marrocos,Canadá,3,0,5400000,8000000,1,-1,-3,0,4,1,1,2,0
2017,5,Estádio Azteca,14486,20120,9144,17,7,Canadá,Equador,1,0,22550000,8400000,1,-1,-2,0,2,-0,0,3,0
2017,6,Mercedes-Benz Stadium,33066,43600,33577,16,4,Suécia,Uzbequistão,3,1,23400000,15530000,1,-1,-1,0,1,0,0,2,0
2017,6,AT&T Stadium,20493,42372,19220,19,14,França,África do Sul,0,2,18750000,23250000,-1,-0,0,1,0,1,1,1,0
2017,7,Gillette Stadium,10033,22600,10236.75,4,11,Turquia,Austrália,2,1,12050000,9600000,1,-1,-1,0,2,1,1,1,0
2017,7,BMO Field,10924,23018,14817.5,16,20,Bósnia e Herzegovina,Haiti,0,1,30000000,15850000,-1,-1,-2,0,1,-1,-2,0,1
2017,7,GEHA Field at Arrowhead Stadium,11904,35000,7861.5,15,9,Croácia,Colômbia,0,0,13150000,27150000,0,-1,-1,0,1,-1,-1,0,1
2017,7,Estádio BBVA,2572,13500,7061.5,19,17,Senegal,Paraguai,3,1,5450000,6150000,1,-1,-2,0,1,0,0,1,0
2017,8,Gillette Stadium,11603,22600,10510,4,12,Croácia,RD Congo,0,2,12300000,10400000,-1,1,1,1,0,-0,0,2,0
2017,8,NRG Stadium,33621,55000,18507.25,6,15,Portugal,Brasil,2,4,NA,NA,-1,-0,0,1,0,-1,-1,0,1
2017,8,GEHA Field at Arrowhead Stadium,7135,35000,7716.2,14,18,Costa do Marfim,Brasil,1,3,17900000,15000000,-1,0,0,1,0,0,0,2,0
2017,8,Estádio BBVA,4420,13500,6533.2,17,20,Coreia do Sul,Japão,0,1,5400000,21500000,-1,1,2,1,0,1,1,1,0
2017,8,Estádio Azteca,19984,37730,11511.8,5,10,Tunísia,Equador,0,0,32250000,13300000,0,1,1,3,0,-1,-2,0,1
2017,9,Mercedes-Benz Stadium,29014,43600,32436.25,13,19,Escócia,Turquia,1,0,28700000,5300000,1,1,2,1,0,-1,-1,0,1
2017,9,AT&T Stadium,19150,42372,19202.5,18,14,Holanda,Portugal,1,0,20250000,31400000,1,1,1,2,0,-1,-1,0,1
2017,9,BMO Field,12027,23018,14259.4,15,17,África do Sul,Japão,2,2,30000000,19900000,0,1,1,1,0,-1,-2,0,1
2017,10,Gillette Stadium,8502,22600,10175.333333333334,10,16,Inglaterra,Turquia,0,1,9650000,19600000,-1,-1,-4,0,2,0,0,2,0
2017,10,NRG Stadium,21929,55000,19191.6,15,6,Croácia,Suécia,0,1,NA,NA,-1,-1,-3,0,2,1,4,4,0
2017,10,AT&T Stadium,17784,42372,18918.8,13,18,Escócia,México,4,1,16750000,16500000,1,1,1,3,0,-1,-2,0,1
2017,11,BMO Field,17251,23018,14758,13,10,Panamá,Uruguai,3,1,23850000,22900000,1,1,1,3,0,1,2,1,0
2017,11,GEHA Field at Arrowhead Stadium,11031,35000,8268.666666666666,15,12,Austrália,Uzbequistão,1,0,19900000,11250000,1,1,1,2,0,1,3,4,0
2017,11,Estádio BBVA,5898,13500,6427.333333333333,20,5,República Tcheca,Costa do Marfim,1,1,6250000,16200000,0,-1,-1,0,3,-1,-1,0,1
2017,11,Estádio Azteca,29075,37730,31764,4,2,Argélia,Uruguai,1,0,22050000,14250000,1,1,1,3,0,-1,-1,0,1
2017,12,Gillette Stadium,9689,22600,10105.857142857143,15,14,Austrália,Irã,1,1,10100000,18500000,0,-0,0,1,0,-1,-1,0,1
2017,12,NRG Stadium,18267,55000,19037.5,16,6,Alemanha,Iraque,1,1,NA,NA,0,-0,0,1,0,0,0,4,0
2017,13,Mercedes-Benz Stadium,39091,43600,32985.166666666664,5,1,Suíça,Senegal,0,2,31650000,22500000,-1,-1,-2,0,1,1,2,13,0
2017,13,AT&T Stadium,15984,42372,18429.666666666668,14,9,Coreia do Sul,Haiti,0,2,21500000,24750000,-1,-0,0,1,0,1,2,1,0
2017,13,Lincoln Financial Field,25861,35000,10781.857142857143,6,15,Jordânia,Haiti,3,0,17400000,10100000,1,1,3,4,0,0,0,2,0
2017,13,BMO Field,12949,23018,14499.57142857143,8,4,Panamá,Colômbia,0,1,31350000,18550000,-1,-0,0,5,0,1,1,2,0
2017,14,Gillette Stadium,10742,22600,10185.375,16,17,Egito,Estados Unidos,2,0,8500000,33230000,1,-1,-3,0,1,0,0,1,0
2017,14,Mercedes-Benz Stadium,36263,43600,33453.42857142857,7,18,Escócia,Equador,4,2,29650000,14550000,1,-1,-2,0,2,-1,-3,0,1
2017,14,Estádio BBVA,5235,13500,5832,20,12,Noruega,Tunísia,1,2,6800000,27750000,-1,-0,0,1,0,-1,-1,0,1
2017,15,AT&T Stadium,15134,42372,17958.85714285714,15,6,Suíça,Coreia do Sul,0,0,22500000,12900000,0,-0,0,1,0,1,1,3,0
2017,15,BMO Field,12177,23018,14209.25,10,14,Gana,Canadá,0,2,NA,NA,-1,1,1,1,0,0,0,4,0
2017,15,GEHA Field at Arrowhead Stadium,9748,35000,10652.625,8,20,Senegal,Argentina,4,0,22300000,7100000,1,-1,-1,0,1,-1,-1,0,1
2017,16,AT&T Stadium,13661,42372,17421.625,16,14,Turquia,Panamá,0,2,17000000,9150000,-1,0,0,2,0,1,4,1,0
2017,16,Lincoln Financial Field,42025,46154,14138.444444444445,5,6,Bósnia e Herzegovina,Suécia,0,2,20900000,27500000,-1,1,4,1,0,-0,0,2,0
2017,16,BMO Field,12497,23018,14019,10,11,Catar,Canadá,1,2,22200000,10400000,-1,-1,-2,0,1,-1,-1,0,1
2017,16,Estádio BBVA,5462,13500,5790.888888888889,20,7,Turquia,Iraque,1,1,8200000,10100000,0,-1,-4,0,2,-0,0,4,0
2017,16,Estádio Azteca,35769,37730,12939.444444444445,3,12,Gana,Jordânia,3,0,NA,NA,1,1,1,5,0,1,2,5,0
2017,17,Gillette Stadium,9744,22600,10136.333333333334,12,20,Panamá,Equador,1,2,8900000,5900000,-1,1,1,1,0,0,0,1,0
2017,17,Mercedes-Benz Stadium,33633,43600,33475.875,5,17,Inglaterra,Japão,2,0,37400000,5950000,1,1,2,3,0,1,1,3,0
2017,17,NRG Stadium,17869,55000,18060.375,14,6,Noruega,Suécia,1,3,NA,NA,-1,-1,-3,0,1,-1,-2,0,1
2017,17,MetLife Stadium,7245,24584,13687.888888888889,8,16,Haiti,Uruguai,0,1,7780000,15050000,-1,1,1,1,0,-1,-2,0,1
2017,18,Gillette Stadium,3466,25000,9469.3,13,15,Irã,Curaçao,1,1,9500000,11100000,0,-1,-1,0,1,-1,-2,0,2
2017,18,AT&T Stadium,14040,28327,17045.88888888889,14,18,Argélia,México,5,0,17300000,6200000,1,1,1,1,0,-1,-2,0,1
2017,18,GEHA Field at Arrowhead Stadium,16918,35000,14416.4,6,11,Argélia,Gana,2,2,20800000,17550000,0,1,2,1,0,-0,0,1,0
2017,18,Estádio BBVA,4142,13500,5626,20,2,Paraguai,Uruguai,0,1,7900000,17450000,-1,1,1,2,0,0,0,5,0
2017,18,MetLife Stadium,5780,15150,12897.1,10,8,Espanha,Nova Zelândia,0,3,8150000,22250000,-1,-1,-1,0,1,0,0,1,0
2017,18,Estádio Azteca,27030,37730,14348.5,3,4,Alemanha,Jordânia,3,2,26000000,39750000,1,-0,0,7,0,-0,0,4,0
2017,19,Mercedes-Benz Stadium,29778,43600,33065,4,10,Espanha,Turquia,0,1,21300000,21300000,-1,1,1,5,0,1,5,2,0
2017,19,NRG Stadium,24517,55000,18777.777777777777,16,17,Bélgica,Turquia,2,1,11850000,22700000,1,-0,0,1,0,-1,-1,0,1
2017,20,Gillette Stadium,15831,22600,10047.636363636364,16,1,Suécia,Egito,0,1,9750000,21450000,-1,-1,-2,0,1,1,2,20,0
2017,20,AT&T Stadium,13963,42372,16737.6,9,13,Cabo Verde,Jordânia,4,1,19050000,10700000,1,1,1,3,0,1,1,2,0
2017,20,BMO Field,11031,15000,16587.363636363636,15,5,Escócia,Inglaterra,2,0,33250000,32100000,1,-1,-2,0,2,-1,-2,0,2
2017,20,GEHA Field at Arrowhead Stadium,12967,35000,14284.636363636364,6,14,Bósnia e Herzegovina,Holanda,0,0,19200000,8800000,0,-1,-2,0,1,0,0,1,0
2017,20,Estádio BBVA,1035,50049,5208.636363636364,20,11,França,República Tcheca,1,0,7100000,9250000,1,-1,-2,0,2,1,2,2,0
2017,20,MetLife Stadium,5323,15150,12208.545454545454,12,4,Gana,Paraguai,1,1,9450000,30900000,0,-0,0,1,0,-1,-1,0,1
2017,20,Estádio Azteca,22018,37730,15045.727272727272,3,8,Cabo Verde,Uruguai,0,0,29000000,17750000,0,-0,0,9,0,1,2,3,0
2017,21,Mercedes-Benz Stadium,21261,43600,31884.6,4,17,RD Congo,Curaçao,0,2,32150000,10000000,-1,-0,0,1,0,-1,-1,0,2
2017,21,NRG Stadium,22248,55000,19124.8,15,13,Irã,México,3,0,10400000,8950000,1,-1,-3,0,1,0,0,2,0
2017,22,Mercedes-Benz Stadium,33537,43600,32034.81818181818,4,17,República Tcheca,México,4,2,31150000,38950000,1,-1,-2,0,1,-0,0,2,0
2017,22,NRG Stadium,22585,55000,19439.363636363636,12,10,Catar,Estados Unidos,1,2,10400000,11550000,-1,1,3,1,0,-1,-1,0,1
2017,23,Gillette Stadium,9676,22600,10016.666666666666,17,6,Espanha,África do Sul,1,2,10250000,22850000,-1,-1,-1,0,1,0,0,2,0
2017,23,AT&T Stadium,17420,42372,16799.636363636364,9,15,Espanha,Suécia,1,1,20050000,10200000,0,-1,-2,0,1,-1,-1,0,1
2017,23,BMO Field,15672,23018,16511.083333333332,10,4,Turquia,Nova Zelândia,1,1,29500000,30400000,0,1,1,1,0,1,2,1,0
2017,23,GEHA Field at Arrowhead Stadium,9870,35000,13916.75,11,18,Bósnia e Herzegovina,Uzbequistão,0,1,22050000,5600000,-1,-1,-5,0,2,1,1,4,0
2017,23,Estádio BBVA,3818,13500,5092.75,20,14,Holanda,Suíça,1,1,7750000,9600000,0,1,1,1,0,-1,-1,0,1
2017,24,AT&T Stadium,13404,42372,16516.666666666668,9,8,Escócia,Suíça,3,1,20000000,10400000,1,0,0,1,0,-0,0,1,0
2017,24,Estádio Azteca,26621,37730,31583.666666666668,4,16,Cabo Verde,México,1,0,30500000,14200000,1,-0,0,2,0,-0,0,1,0
2017,25,Gillette Stadium,9980,22600,10013.846153846154,15,14,Turquia,Egito,1,0,11850000,12350000,1,1,1,1,0,-1,-2,0,1
2017,25,NRG Stadium,13102,55000,18911.25,16,2,França,Suíça,1,0,10900000,14750000,1,-1,-1,0,1,-1,-1,0,2
2017,25,BMO Field,10865,23018,16076.76923076923,10,19,República Tcheca,Panamá,1,3,26600000,11300000,-1,-0,0,3,0,-1,-1,0,1
2017,25,GEHA Field at Arrowhead Stadium,17190,35000,14168.538461538461,12,11,Bósnia e Herzegovina,Uruguai,1,1,20650000,12700000,0,-1,-2,0,4,-1,-1,0,1
2017,26,Mercedes-Benz Stadium,37527,43600,32040.846153846152,4,2,Colômbia,Uruguai,0,1,33250000,17250000,-1,1,1,4,0,1,1,1,0
2017,26,NRG Stadium,21327,55000,19097.076923076922,13,19,Suécia,Irã,1,1,9650000,13100000,0,1,1,1,0,-1,-1,0,2
2017,26,AT&T Stadium,13177,42372,16259.76923076923,8,11,França,Haiti,0,2,19550000,31000000,-1,-1,-1,0,1,-1,-2,0,1
2017,27,Mercedes-Benz Stadium,25331,43600,31561.571428571428,4,13,Bósnia e Herzegovina,Estados Unidos,2,2,30750000,8350000,0,-1,-1,0,1,0,0,2,0
2017,27,AT&T Stadium,7537,42372,15636.714285714286,8,20,França,Holanda,2,2,20000000,7100000,0,-1,-2,0,2,1,2,1,0
2017,27,BMO Field,17606,23018,16186,9,15,França,RD Congo,1,0,34750000,29530000,1,1,2,1,0,1,1,4,0
2017,28,Gillette Stadium,10484,22600,10047.42857142857,16,7,Gana,Colômbia,0,1,15100000,38100000,-1,-1,-1,0,1,0,0,1,0
2017,28,NRG Stadium,23413,55000,19405.35714285714,12,1,Croácia,Espanha,2,0,10550000,19750000,1,-0,0,3,0,1,2,4,0
2017,28,GEHA Field at Arrowhead Stadium,20273,35000,14604.57142857143,11,8,França,Tunísia,1,1,16800000,34250000,0,1,1,1,0,1,1,2,0
2017,28,Estádio BBVA,12619,13500,5640.642857142857,20,5,Inglaterra,Coreia do Sul,1,3,7750000,26250000,-1,-0,0,2,0,0,0,1,0
2017,28,Estádio Azteca,19007,35000,14381,2,15,Marrocos,Colômbia,2,2,26250000,9850000,0,-0,0,3,0,-1,-1,0,1
2017,28,Estádio Azteca,26833,37730,34898,17,10,República Tcheca,Colômbia,2,1,31000000,19550000,1,-1,-1,0,1,0,0,1,0
2017,29,BMO Field,11927,23018,15902.066666666668,9,17,Argentina,Nova Zelândia,2,3,34250000,15900000,-1,-0,0,3,0,-1,-1,0,2
2017,29,GEHA Field at Arrowhead Stadium,16377,35000,14722.733333333334,14,3,Portugal,Argentina,1,1,18050000,24500000,0,0,0,2,0,0,0,4,0
2017,29,Estádio Azteca,17778,37730,30642.666666666668,4,16,Alemanha,Croácia,2,0,26250000,9350000,1,1,2,2,0,-1,-1,0,1
2017,30,Gillette Stadium,10010,22600,10044.933333333332,14,9,Argentina,Equador,2,0,15900000,15800000,1,1,1,1,0,1,2,3,0
2017,30,NRG Stadium,31185,55000,20190.666666666668,12,16,Escócia,Holanda,2,1,11600000,10600000,1,-1,-3,0,1,-1,-1,0,1
2017,30,AT&T Stadium,10407,42372,15288.066666666668,10,13,Holanda,Equador,2,1,17550000,20800000,1,1,1,1,0,0,0,3,0
2017,30,Estádio Azteca,32965,37730,34769.13333333333,15,6,Colômbia,Paraguai,2,0,35950000,33350000,1,-1,-2,0,1,1,3,3,0
2017,31,Mercedes-Benz Stadium,37961,43600,31100.0625,2,5,Holanda,Turquia,2,2,30500000,27000000,0,1,2,4,0,-1,-2,0,2
2017,31,AT&T Stadium,10529,42372,14990.625,9,13,Arábia Saudita,Curaçao,0,0,20050000,15900000,0,1,1,2,0,1,2,2,0
2017,31,BMO Field,17086,23018,15976.0625,10,6,África do Sul,Uruguai,0,0,32250000,9000000,0,1,2,1,0,1,1,2,0
2017,31,GEHA Field at Arrowhead Stadium,9982,35000,14426.4375,15,19,Escócia,Egito,3,4,21800000,13250000,-1,-1,-1,0,1,-0,0,2,0
2017,31,Estádio Azteca,40004,40500,35096.3125,14,3,Arábia Saudita,Iraque,2,1,35950000,27500000,1,1,2,1,0,1,1,6,0
2017,32,Gillette Stadium,10654,22600,10083,14,15,Suécia,Suíça,1,1,12650000,19300000,0,-0,0,3,0,-1,-1,0,2
2017,32,NRG Stadium,20539,55000,20212.4375,13,17,Alemanha,Haiti,2,0,12000000,14350000,1,-0,0,2,0,1,1,1,0
2017,33,AT&T Stadium,19394,42372,15249.64705882353,12,1,Canadá,Estados Unidos,0,1,18750000,31750000,-1,-1,-1,0,1,1,1,1,0
2017,33,BMO Field,8204,23018,15518.882352941177,13,20,Gana,Argentina,3,2,35500000,6100000,1,-1,-2,0,1,-1,-1,0,1
2017,33,GEHA Field at Arrowhead Stadium,24119,35000,14996.588235294117,16,6,África do Sul,Senegal,1,2,17550000,13350000,-1,-0,0,1,0,-1,-1,0,1
2017,33,Estádio Azteca,35037,37730,35092.82352941176,9,14,Noruega,Estados Unidos,2,2,32950000,11550000,0,1,1,3,0,0,0,4,0
2017,34,Gillette Stadium,11301,22600,10154.64705882353,14,3,Gana,Iraque,2,0,15900000,27500000,1,-0,0,5,0,-1,-1,0,1
2017,34,Mercedes-Benz Stadium,27831,43600,30907.764705882353,4,7,Costa do Marfim,Uruguai,2,0,27750000,28750000,1,-1,-2,0,2,1,2,1,0
2017,34,NRG Stadium,29769,55000,20774.58823529412,9,10,Suíça,Arábia Saudita,2,2,12100000,21600000,0,1,1,4,0,1,1,1,0
2017,34,SoFi Stadium,14021,19248,21782.529411764706,2,16,Suíça,Marrocos,1,1,38350000,13050000,0,1,1,3,0,1,2,3,0
2017,34,Estádio BBVA,338,13500,6238.235294117647,20,17,Egito,Colômbia,2,0,5900000,17050000,1,-1,-1,0,2,-1,-1,0,1
2017,35,Gillette Stadium,7546,22600,10009.722222222223,13,16,Áustria,Senegal,2,1,15900000,12300000,1,1,2,6,0,-0,0,4,0
2017,35,Mercedes-Benz Stadium,18744,43600,30232,3,17,Holanda,México,5,1,31750000,17700000,1,1,2,1,0,-1,-2,0,2
2017,35,NRG Stadium,22896,55000,20892.444444444445,9,4,Croácia,Jordânia,3,1,12100000,29750000,1,0,0,5,0,-1,-2,0,2
2017,36,AT&T Stadium,9991,42372,14957.5,13,8,República Tcheca,Argentina,3,1,20000000,15800000,1,-1,-1,0,1,0,0,11,0
2017,36,BMO Field,19719,23018,15752.222222222223,10,15,Escócia,Jordânia,3,0,28850000,12850000,1,-0,0,3,0,1,1,7,0
2017,36,GEHA Field at Arrowhead Stadium,14697,35000,14979.944444444445,18,9,Noruega,Colômbia,1,0,17700000,14100000,1,-1,-4,0,3,1,2,6,0
2017,36,Estádio BBVA,2280,13500,6018.333333333333,20,11,Estados Unidos,Argentina,1,1,6450000,13650000,0,1,1,2,0,1,1,7,0
2017,36,Estádio Azteca,25771,37730,34574.944444444445,12,6,Espanha,Haiti,0,0,31550000,13300000,0,-1,-1,0,1,-1,-1,0,2
2017,37,Mercedes-Benz Stadium,23562,43600,29880.947368421053,3,7,Suécia,Nova Zelândia,2,0,30750000,12300000,1,-1,-1,0,1,-0,0,1,0
2017,37,NRG Stadium,35437,55000,21657.947368421053,10,12,Inglaterra,Brasil,0,1,12350000,16650000,-1,-1,-1,0,1,-0,0,8,0
2017,38,Gillette Stadium,12913,22600,10162.526315789473,10,16,Uzbequistão,Brasil,2,1,15000000,11750000,1,1,1,9,0,-1,-1,0,2
2017,38,AT&T Stadium,12879,42372,14848.105263157895,13,2,Gana,Equador,3,0,15800000,34750000,1,-1,-1,0,1,1,2,1,0
2017,38,BMO Field,19116,23018,15929.263157894737,9,3,Irã,Iraque,4,3,28000000,600000,1,-0,0,5,0,0,0,1,0
2017,38,GEHA Field at Arrowhead Stadium,29977,35000,15769.263157894737,17,1,Alemanha,Cabo Verde,1,0,17700000,18500000,1,1,1,2,0,0,0,1,0
2017,38,Estádio BBVA,2996,13500,5859.263157894737,20,14,Austrália,Argentina,1,1,6250000,25850000,0,-0,0,4,0,-1,-1,0,1
2018,1,Estádio Azteca,15513,37730,15513,3,18,Gana,Brasil,2,0,26900000,7430000,1,0,0,1,0,0,0,1,0
2018,1,AT&T Stadium,9258,42372,9258,1,20,Espanha,Suíça,5,1,13000000,15500000,1,0,0,1,0,0,0,1,0
2018,1,BMO Field,8662,25000,8662,2,19,Croácia,Egito,3,0,7300000,9100000,1,0,0,1,0,0,0,1,0
2018,2,Gillette Stadium,8675,22600,8675,20,6,Espanha,México,1,1,15350000,13050000,0,-1,-4,0,1,1,1,2,0
2018,2,Estádio Azteca,25504,37730,25504,11,4,Uzbequistão,Curaçao,1,0,38750000,23400000,1,-0,0,2,0,1,2,2,0
2018,2,Levi's Stadium,30186,60326,30186,18,8,Bélgica,Estados Unidos,0,0,6930000,26000000,0,-1,-2,0,1,1,1,2,0
2018,2,GEHA Field at Arrowhead Stadium,7083,35000,7083,19,12,Bélgica,Austrália,1,1,12450000,12600000,0,-1,-3,0,1,0,0,2,0
2018,2,NRG Stadium,15588,55000,15588,17,3,Croácia,Turquia,1,0,12100000,26900000,1,-1,-2,0,1,1,2,2,0
2018,2,BMO Field,10423,23018,10423,13,10,Turquia,Catar,2,1,22350000,9580000,1,-1,-1,0,1,0,0,2,0
2018,3,Mercedes-Benz Stadium,30617,43600,28060.5,5,18,Estados Unidos,Nova Zelândia,0,0,44100000,15450000,0,1,1,3,0,0,0,1,0
2018,3,Levi's Stadium,52952,60326,41569,16,3,Iraque,Paraguai,0,3,7950000,55000000,-1,0,0,1,0,1,2,3,0
2018,3,BMO Field,9453,25000,9057.5,8,15,Tunísia,Catar,2,1,7750000,9580000,1,-1,-2,0,1,-1,-1,0,1
2018,3,NRG Stadium,16313,55000,15950.5,13,2,Holanda,Uzbequistão,0,0,12550000,13450000,0,1,1,1,0,-0,0,3,0
2018,3,BMO Field,19825,23018,15124,11,1,Curaçao,Colômbia,1,0,22350000,36000000,1,1,1,1,0,1,4,3,0
2018,3,Estádio Azteca,12985,20120,14249,9,4,Espanha,Tunísia,1,1,36300000,11250000,0,-1,-1,0,1,-0,0,3,0
2018,4,Gillette Stadium,7838,22600,8256.5,16,20,África do Sul,Arábia Saudita,1,1,14250000,5430000,0,-0,0,2,0,-1,-1,0,3
2018,4,AT&T Stadium,20417,42372,14837.5,5,8,Tunísia,Japão,1,3,16500000,29750000,-1,-0,0,4,0,0,0,4,0
2018,4,GEHA Field at Arrowhead Stadium,15165,35000,11124,15,14,Suécia,Panamá,2,0,12400000,12400000,1,1,1,2,0,0,0,2,0
2018,5,Gillette Stadium,10931,22600,9148,17,1,Suíça,Gana,3,2,15250000,15700000,1,0,0,3,0,1,2,5,0
2018,5,AT&T Stadium,8400,42372,12691.666666666666,11,6,Gana,Arábia Saudita,1,2,12600000,22350000,-1,-1,-2,0,1,-0,0,3,0
2018,5,Levi's Stadium,13898,60326,32345.333333333332,18,9,Marrocos,Uzbequistão,2,2,8280000,8550000,0,-0,0,1,0,-1,-3,0,1
2018,5,NRG Stadium,20847,55000,17582.666666666668,16,10,Tunísia,México,2,2,11900000,20950000,0,-1,-2,0,1,0,0,5,0
2018,6,Lincoln Financial Field,28942,46154,17063.333333333332,12,2,Inglaterra,Uruguai,1,1,13100000,14650000,0,-1,-2,0,1,1,1,2,0
2018,6,Mercedes-Benz Stadium,26351,43600,27490.666666666668,6,17,Holanda,RD Congo,3,0,32250000,11400000,1,-1,-1,0,1,0,0,1,0
2018,6,BMO Field,4689,25000,7601.333333333333,10,7,Holanda,Canadá,1,0,7900000,10400000,1,-0,0,1,0,1,1,1,0
2018,6,BMO Field,15384,23018,15210.666666666666,3,8,RD Congo,Estados Unidos,1,0,25600000,17650000,1,1,1,4,0,1,2,3,0
2018,7,Mercedes-Benz Stadium,25947,43600,27104.75,4,12,Egito,Canadá,2,3,35450000,13400000,-1,1,3,1,0,0,0,1,0
2018,7,Estádio Azteca,10670,37730,10784.75,15,13,Egito,Marrocos,0,1,33150000,25000000,-1,-1,-1,0,1,-1,-1,0,1
2018,7,Levi's Stadium,14012,60326,27762,19,8,Holanda,Estados Unidos,0,1,NA,NA,-1,-1,-1,0,1,-0,0,3,0
2018,7,BMO Field,4360,25000,6791,6,7,Croácia,Panamá,1,3,8600000,29350000,-1,1,1,2,0,1,1,7,0
2018,7,NRG Stadium,15031,55000,16944.75,18,9,Bélgica,Equador,3,0,13250000,12750000,1,-1,-3,0,1,-0,0,1,0
2018,7,BMO Field,15797,23018,15357.25,1,2,Coreia do Sul,Curaçao,0,1,28650000,74550000,-1,1,1,5,0,0,0,1,0
2018,8,Gillette Stadium,7015,22600,8614.75,18,19,Alemanha,RD Congo,2,0,NA,NA,1,-1,-2,0,2,-1,-1,0,2
2018,8,AT&T Stadium,9173,42372,11812,17,16,Catar,Iraque,2,0,17450000,38750000,1,-0,0,1,0,-1,-1,0,2
2018,8,GEHA Field at Arrowhead Stadium,15605,35000,16698.75,9,3,Catar,Brasil,3,2,13050000,29250000,1,1,1,2,0,-1,-1,0,1
2018,9,Mercedes-Benz Stadium,32841,43600,28252,11,2,Noruega,Argentina,3,1,30700000,32250000,1,-1,-1,0,2,1,1,9,0
2018,9,Levi's Stadium,15234,60326,25256.4,19,7,Suécia,Curaçao,0,1,NA,NA,-1,-1,-2,0,3,1,1,2,0
2018,9,BMO Field,4679,25000,6368.6,12,13,Gana,Haiti,3,1,8150000,16650000,1,-1,-1,0,2,1,2,2,0
2018,9,NRG Stadium,15990,55000,16753.8,17,9,Coreia do Sul,México,0,2,14750000,29600000,-1,-1,-2,0,1,0,0,5,0
