ano,pais,gols_acumulados_ano_anterior,titulos_outros_acumulados_ano_anterior,ganhou_fifa
1964,Latvia,0,0,0
1964,Netherlands,7,0,0
1964,North Macedonia,0,0,0
1964,Northern Ireland,29,0,0
1964,Norway,19,0,0
1964,Poland,2,0,0
1964,Portugal,8,1,0
1964,Republic of Ireland,11,0,0
1964,Romania,3,0,0
1964,Russia,21,0,0
1964,Scotland,44,1,0
1964,Serbia,0,0,0
1964,Slovakia,0,0,0
1964,Slovenia,0,0,0
1964,Spain,12,0,1
1964,Sweden,41,3,0
1964,Switzerland,14,0,0
1964,Turkey,4,0,0
1964,Ukraine,0,0,0
1964,Wales,27,0,0
1964,Yugoslavia,23,0,0
1965,Albania,1,0,0
1965,Austria,4,0,0
1965,Belgium,5,0,0
1965,Bulgaria,15,1,0
1965,Croatia,0,0,0
1965,Czech Republic,0,0,0
1965,Czechoslovakia,32,2,0
1965,Denmark,52,1,0
1965,England,55,2,0
1965,Finland,22,0,0
1965,France,30,1,0
1965,Georgia,0,0,0
1965,Germany,14,0,0
1965,Greece,9,1,0
1965,Hungary,27,0,0
1965,Iceland,3,0,0
1965,Italy,20,1,0
1965,Latvia,0,0,0
1965,Netherlands,11,0,0
1965,North Macedonia,0,0,0
1965,Northern Ireland,39,0,0
1965,Norway,22,0,0
1965,Poland,2,0,0
1965,Portugal,8,1,0
1965,Republic of Ireland,12,0,0
1965,Romania,3,0,0
1965,Russia,29,1,0
1965,Scotland,53,2,0
1965,Serbia,0,0,0
1965,Slovakia,0,0,0
1965,Slovenia,0,0,0
1965,Spain,23,0,0
1965,Sweden,49,3,0
1965,Switzerland,16,0,0
1965,Turkey,4,0,0
1965,Ukraine,0,0,0
1965,Wales,33,0,0
1965,Yugoslavia,23,0,0
1966,Albania,3,0,0
1966,Austria,4,0,0
1966,Belgium,11,0,0
1966,Bulgaria,20,2,0
1966,Croatia,0,0,0
1966,Czech Republic,0,0,0
1966,Czechoslovakia,44,2,0
1966,Denmark,63,1,0
1966,England,59,2,0
1966,Finland,32,0,0
1966,France,32,1,0
1966,Georgia,0,0,0
1966,Germany,16,0,0
1966,Greece,13,1,0
1966,Hungary,31,0,0
1966,Iceland,3,0,0
1966,Italy,31,1,0
1966,Latvia,0,0,0
1966,Netherlands,13,0,0
1966,North Macedonia,0,0,0
1966,Northern Ireland,50,0,0
1966,Norway,28,0,0
1966,Poland,13,0,0
1966,Portugal,17,1,0
1966,Republic of Ireland,14,0,0
1966,Romania,12,0,0
1966,Russia,48,1,0
1966,Scotland,66,3,0
1966,Serbia,0,0,0
1966,Slovakia,0,0,0
1966,Slovenia,0,0,0
1966,Spain,28,0,0
1966,Sweden,53,3,0
1966,Switzerland,21,0,0
1966,Turkey,8,0,0
1966,Ukraine,0,0,0
1966,Wales,50,0,0
1966,Yugoslavia,25,0,0
1967,Albania,3,0,0
1967,Austria,4,0,0
1967,Belgium,13,0,0
1967,Bulgaria,25,2,0
1967,Croatia,0,0,0
1967,Czech Republic,0,0,0
1967,Czechoslovakia,44,2,0
1967,Denmark,65,1,0
1967,England,78,3,0
1967,Finland,37,0,0
1967,France,35,1,0
1967,Georgia,0,0,0
1967,Germany,27,0,0
1967,Greece,15,1,0
1967,Hungary,44,0,0
1967,Iceland,3,0,0
1967,Italy,34,1,0
1967,Latvia,0,0,0
1967,Netherlands,17,0,0
1967,North Macedonia,0,0,0
1967,Northern Ireland,55,0,0
1967,Norway,34,0,0
1967,Poland,14,0,0
1967,Portugal,27,1,0
1967,Republic of Ireland,16,0,0
1967,Romania,17,0,0
1967,Russia,53,1,0
1967,Scotland,72,4,0
1967,Serbia,0,0,0
1967,Slovakia,0,0,0
1967,Slovenia,0,0,0
1967,Spain,33,1,0
1967,Sweden,61,4,0
1967,Switzerland,24,0,0
1967,Turkey,9,0,0
1967,Ukraine,0,0,0
1967,Wales,53,0,0
1967,Yugoslavia,25,0,0
1968,Albania,3,0,0
1968,Austria,12,0,0
1968,Belgium,17,0,0
1968,Bulgaria,31,2,0
1968,Croatia,0,0,0
1968,Czech Republic,0,0,0
1968,Czechoslovakia,52,2,0
1968,Denmark,77,2,0
1968,England,85,3,0
1968,Finland,41,0,0
1968,France,40,1,0
1968,Georgia,0,0,0
1968,Germany,36,0,0
1968,Greece,21,1,0
1968,Hungary,48,0,0
1968,Iceland,3,0,0
1968,Italy,41,2,1
1968,Latvia,0,0,0
1968,Netherlands,20,0,0
1968,North Macedonia,0,0,0
1968,Northern Ireland,56,0,0
1968,Norway,43,0,0
1968,Poland,22,0,0
1968,Portugal,32,1,0
1968,Republic of Ireland,19,0,0
1968,Romania,18,0,0
1968,Russia,69,1,0
1968,Scotland,78,5,0
1968,Serbia,0,0,0
1968,Slovakia,0,0,0
1968,Slovenia,0,0,0
1968,Spain,37,1,0
1968,Sweden,71,4,0
1968,Switzerland,33,0,0
1968,Turkey,11,0,0
1968,Ukraine,0,0,0
1968,Wales,55,0,0
1968,Yugoslavia,33,0,0
1969,Albania,3,0,0
1969,Austria,13,0,0
1969,Belgium,29,0,0
1969,Bulgaria,36,2,0
1969,Croatia,0,0,0
1969,Czech Republic,0,0,0
1969,Czechoslovakia,56,2,0
1969,Denmark,86,2,0
1969,England,91,3,0
1969,Finland,46,0,0
1969,France,42,1,0
1969,Georgia,0,0,0
1969,Germany,38,0,0
1969,Greece,25,1,0
1969,Hungary,50,0,0
1969,Iceland,3,0,0
1969,Italy,49,2,0
1969,Latvia,0,0,0
1969,Netherlands,20,0,0
1969,North Macedonia,0,0,0
1969,Northern Ireland,63,1,0
1969,Norway,50,0,0
1969,Poland,22,0,0
1969,Portugal,37,1,0
1969,Republic of Ireland,19,0,0
1969,Romania,20,0,0
1969,Russia,72,2,0
1969,Scotland,81,5,0
1969,Serbia,0,0,0
1969,Slovakia,0,0,0
1969,Slovenia,0,0,0
1969,Spain,39,1,0
1969,Sweden,82,4,0
1969,Switzerland,34,0,0
1969,Turkey,12,0,0
1969,Ukraine,0,0,0
1969,Wales,57,1,0
1969,Yugoslavia,50,0,0
1970,Albania,3,0,0
1970,Austria,15,0,0
1970,Belgium,31,0,0
1970,Bulgaria,41,2,0
1970,Croatia,0,0,0
1970,Czech Republic,0,0,0
1970,Czechoslovakia,68,3,0
1970,Denmark,97,2,0
1970,England,100,3,0
1970,Finland,53,0,0
1970,France,48,1,0
1970,Georgia,0,0,0
1970,Germany,43,0,0
1970,Greece,34,1,0
1970,Hungary,67,0,0
1970,Iceland,3,0,0
1970,Italy,53,2,0
1970,Latvia,0,0,0
1970,Netherlands,23,0,0
1970,North Macedonia,0,0,0
1970,Northern Ireland,65,1,0
1970,Norway,59,1,0
1970,Poland,28,0,0
1970,Portugal,40,1,0
1970,Republic of Ireland,22,0,0
1970,Romania,25,0,0
1970,Russia,80,2,0
1970,Scotland,91,5,0
1970,Serbia,0,0,0
1970,Slovakia,0,0,0
1970,Slovenia,0,0,0
1970,Spain,48,1,0
1970,Sweden,98,4,0
1970,Switzerland,38,0,0
1970,Turkey,13,0,0
1970,Ukraine,0,0,0
1970,Wales,62,1,0
1970,Yugoslavia,60,0,0
1971,Albania,4,0,0
1971,Austria,16,0,0
1971,Belgium,34,0,0
1971,Bulgaria,44,2,0
1971,Croatia,0,0,0
1971,Czech Republic,0,0,0
1971,Czechoslovakia,70,3,0
1971,Denmark,99,2,0
1971,England,108,3,0
1971,Finland,56,0,0
1971,France,51,1,0
1971,Georgia,0,0,0
1971,Germany,55,0,0
1971,Greece,34,1,0
1971,Hungary,70,0,0
1971,Iceland,3,0,0
1971,Italy,63,2,0
1971,Latvia,0,0,0
1971,Netherlands,24,0,0
1971,North Macedonia,0,0,0
1971,Northern Ireland,66,1,0
1971,Norway,65,2,0
1971,Poland,31,0,0
1971,Portugal,41,1,0
1971,Republic of Ireland,23,0,0
1971,Romania,30,0,0
1971,Russia,84,2,0
1971,Scotland,93,5,0
1971,Serbia,0,0,0
1971,Slovakia,0,0,0
1971,Slovenia,0,0,0
1971,Spain,51,1,0
1971,Sweden,103,4,0
1971,Switzerland,39,1,0
1971,Turkey,16,0,0
1971,Ukraine,0,0,0
1971,Wales,64,2,0
1971,Yugoslavia,61,0,0
1972,Albania,8,0,0
1972,Austria,29,0,0
1972,Belgium,43,0,0
1972,Bulgaria,54,2,0
1972,Croatia,0,0,0
1972,Czech Republic,0,0,0
1972,Czechoslovakia,80,3,0
1972,Denmark,106,3,0
1972,England,121,3,0
1972,Finland,58,0,0
1972,France,58,1,0
1972,Georgia,0,0,0
1972,Germany,64,0,1
1972,Greece,34,1,0
1972,Hungary,79,0,0
1972,Iceland,3,0,0
1972,Italy,70,2,0
1972,Latvia,0,0,0
1972,Netherlands,24,0,0
1972,North Macedonia,0,0,0
1972,Northern Ireland,69,2,0
1972,Norway,69,2,0
1972,Poland,38,0,0
1972,Portugal,50,1,0
1972,Republic of Ireland,25,0,0
1972,Romania,38,0,0
1972,Russia,88,2,0
1972,Scotland,97,5,0
1972,Serbia,0,0,0
1972,Slovakia,0,0,0
1972,Slovenia,0,0,0
1972,Spain,52,1,0
1972,Sweden,114,4,0
1972,Switzerland,43,1,0
1972,Turkey,18,1,0
1972,Ukraine,0,0,0
1972,Wales,69,2,0
1972,Yugoslavia,63,0,0
1973,Albania,8,0,0
1973,Austria,33,0,0
1973,Belgium,58,0,0
1973,Bulgaria,57,2,0
1973,Croatia,0,0,0
1973,Czech Republic,0,0,0
1973,Czechoslovakia,81,3,0
1973,Denmark,110,3,0
1973,England,127,3,0
1973,Finland,60,0,0
1973,France,60,1,0
1973,Georgia,0,0,0
1973,Germany,72,0,0
1973,Greece,34,1,0
1973,Hungary,87,1,0
1973,Iceland,4,0,0
1973,Italy,71,2,0
1973,Latvia,0,0,0
1973,Netherlands,33,0,0
1973,North Macedonia,0,0,0
1973,Northern Ireland,71,2,0
1973,Norway,74,2,0
1973,Poland,38,0,0
1973,Portugal,53,2,0
1973,Republic of Ireland,29,0,0
1973,Romania,45,0,0
1973,Russia,94,2,0
1973,Scotland,108,5,0
1973,Serbia,0,0,0
1973,Slovakia,0,0,0
1973,Slovenia,0,0,0
1973,Spain,55,1,0
1973,Sweden,119,5,0
1973,Switzerland,43,1,0
1973,Turkey,18,1,0
1973,Ukraine,0,0,0
1973,Wales,69,2,0
1973,Yugoslavia,70,0,0
1974,Albania,10,0,0
1974,Austria,38,0,0
1974,Belgium,60,0,0
1974,Bulgaria,63,2,0
1974,Croatia,0,0,0
1974,Czech Republic,0,0,0
1974,Czechoslovakia,90,3,0
1974,Denmark,113,4,0
1974,England,135,3,0
1974,Finland,62,0,0
1974,France,61,1,0
1974,Georgia,0,0,0
1974,Germany,72,0,0
1974,Greece,39,1,0
1974,Hungary,92,1,0
1974,Iceland,5,0,0
1974,Italy,74,2,0
1974,Latvia,0,0,0
1974,Netherlands,48,0,0
1974,North Macedonia,0,0,0
1974,Northern Ireland,77,3,0
1974,Norway,79,2,0
1974,Poland,44,0,0
1974,Portugal,58,2,0
1974,Republic of Ireland,30,0,0
1974,Romania,58,0,0
1974,Russia,97,2,0
1974,Scotland,113,5,0
1974,Serbia,0,0,0
1974,Slovakia,0,0,0
1974,Slovenia,0,0,0
1974,Spain,61,1,0
1974,Sweden,130,5,0
1974,Switzerland,43,1,0
1974,Turkey,25,2,0
1974,Ukraine,0,0,0
1974,Wales,72,2,0
1974,Yugoslavia,74,1,0
1975,Albania,10,0,0
1975,Austria,40,0,0
1975,Belgium,64,0,0
1975,Bulgaria,73,2,0
1975,Croatia,0,0,0
1975,Czech Republic,0,0,0
1975,Czechoslovakia,90,3,0
1975,Denmark,115,4,0
1975,England,141,3,0
1975,Finland,67,1,0
1975,France,62,1,0
1975,Georgia,0,0,0
1975,Germany,83,1,0
1975,Greece,47,2,0
1975,Hungary,92,1,0
1975,Iceland,5,0,0
1975,Italy,76,2,0
1975,Latvia,0,0,0
1975,Netherlands,59,0,0
1975,North Macedonia,0,0,0
1975,Northern Ireland,81,3,0
1975,Norway,84,2,0
1975,Poland,54,0,0
1975,Portugal,58,2,0
1975,Republic of Ireland,34,0,0
1975,Romania,61,1,0
1975,Russia,97,2,0
1975,Scotland,119,5,0
1975,Serbia,0,0,0
1975,Slovakia,0,0,0
1975,Slovenia,0,0,0
1975,Spain,65,1,0
1975,Sweden,138,5,0
1975,Switzerland,44,1,0
1975,Turkey,29,2,0
1975,Ukraine,0,0,0
1975,Wales,76,3,0
1975,Yugoslavia,81,2,0
1976,Albania,10,0,0
1976,Austria,41,0,0
1976,Belgium,65,0,0
1976,Bulgaria,74,2,0
1976,Croatia,0,0,0
1976,Czech Republic,0,0,0
1976,Czechoslovakia,98,3,1
1976,Denmark,119,4,0
1976,England,150,4,0
1976,Finland,71,1,0
1976,France,65,1,0
1976,Georgia,0,0,0
1976,Germany,86,1,0
1976,Greece,49,2,0
1976,Hungary,95,1,0
1976,Iceland,5,0,0
1976,Italy,78,2,0
1976,Latvia,0,0,0
1976,Netherlands,67,0,0
1976,North Macedonia,0,0,0
1976,Northern Ireland,87,3,0
1976,Norway,91,2,0
1976,Poland,58,0,0
1976,Portugal,60,2,0
1976,Republic of Ireland,41,0,0
1976,Romania,73,1,0
1976,Russia,107,2,0
1976,Scotland,132,5,0
1976,Serbia,0,0,0
1976,Slovakia,0,0,0
1976,Slovenia,0,0,0
1976,Spain,71,1,0
1976,Sweden,146,5,0
1976,Switzerland,48,1,0
1976,Turkey,31,2,0
1976,Ukraine,0,0,0
1976,Wales,83,3,0
1976,Yugoslavia,90,2,0
1977,Albania,10,0,0
1977,Austria,41,0,0
1977,Belgium,69,0,0
1977,Bulgaria,79,2,0
1977,Croatia,0,0,0
1977,Czech Republic,0,0,0
1977,Czechoslovakia,109,3,0
1977,Denmark,122,4,0
1977,England,162,4,0
1977,Finland,73,1,0
1977,France,69,1,0
1977,Georgia,0,0,0
1977,Germany,95,1,0
1977,Greece,50,2,0
1977,Hungary,96,1,0
1977,Iceland,5,0,0
1977,Italy,80,2,0
1977,Latvia,0,0,0
1977,Netherlands,81,0,0
1977,North Macedonia,0,0,0
1977,Northern Ireland,89,3,0
1977,Norway,95,3,0
1977,Poland,60,0,0
1977,Portugal,61,2,0
1977,Republic of Ireland,41,0,0
1977,Romania,76,2,0
1977,Russia,109,2,0
1977,Scotland,141,7,0
1977,Serbia,0,0,0
1977,Slovakia,0,0,0
1977,Slovenia,0,0,0
1977,Spain,73,1,0
1977,Sweden,160,5,0
1977,Switzerland,49,1,0
1977,Turkey,31,2,0
1977,Ukraine,0,0,0
1977,Wales,86,3,0
1977,Yugoslavia,97,2,0
1978,Albania,10,0,0
1978,Austria,43,0,0
1978,Belgium,73,0,0
1978,Bulgaria,85,2,0
1978,Croatia,0,0,0
1978,Czech Republic,0,0,0
1978,Czechoslovakia,111,3,0
1978,Denmark,130,4,0
1978,England,167,4,0
1978,Finland,76,1,0
1978,France,72,1,0
1978,Georgia,0,0,0
1978,Germany,95,1,0
1978,Greece,51,2,0
1978,Hungary,101,1,0
1978,Iceland,7,0,0
1978,Italy,89,2,0
1978,Latvia,0,0,0
1978,Netherlands,89,0,0
1978,North Macedonia,0,0,0
1978,Northern Ireland,96,3,0
1978,Norway,98,3,0
1978,Poland,67,0,0
1978,Portugal,66,2,0
1978,Republic of Ireland,43,0,0
1978,Romania,87,2,0
1978,Russia,114,2,0
1978,Scotland,151,8,0
1978,Serbia,0,0,0
1978,Slovakia,0,0,0
1978,Slovenia,0,0,0
1978,Spain,76,2,0
1978,Sweden,165,5,0
1978,Switzerland,51,1,0
1978,Turkey,34,2,0
1978,Ukraine,0,0,0
1978,Wales,91,3,0
1978,Yugoslavia,103,2,0
1979,Albania,10,0,0
1979,Austria,56,0,0
1979,Belgium,75,0,0
1979,Bulgaria,88,2,0
1979,Croatia,0,0,0
1979,Czech Republic,0,0,0
1979,Czechoslovakia,114,3,0
1979,Denmark,143,5,0
1979,England,177,5,0
1979,Finland,84,1,0
1979,France,78,1,0
1979,Georgia,0,0,0
1979,Germany,99,1,0
1979,Greece,64,2,0
1979,Hungary,107,1,0
1979,Iceland,7,0,0
1979,Italy,96,2,0
1979,Latvia,0,0,0
1979,Netherlands,106,0,0
1979,North Macedonia,0,0,0
1979,Northern Ireland,101,3,0
1979,Norway,103,3,0
1979,Poland,71,0,0
1979,Portugal,70,2,0
1979,Republic of Ireland,47,0,0
1979,Romania,94,2,0
1979,Russia,116,2,0
1979,Scotland,161,8,0
1979,Serbia,0,0,0
1979,Slovakia,0,0,0
1979,Slovenia,0,0,0
1979,Spain,81,2,0
1979,Sweden,171,5,0
1979,Switzerland,52,1,0
1979,Turkey,35,2,0
1979,Ukraine,0,0,0
1979,Wales,95,4,0
1979,Yugoslavia,110,3,0
1980,Albania,10,0,0
1980,Austria,64,0,0
1980,Belgium,85,0,0
1980,Bulgaria,92,2,0
1980,Croatia,0,0,0
1980,Czech Republic,0,0,0
1980,Czechoslovakia,121,3,0
1980,Denmark,148,6,0
1980,England,197,5,0
1980,Finland,88,1,0
1980,France,83,1,0
1980,Georgia,0,0,0
1980,Germany,108,2,1
1980,Greece,65,2,0
1980,Hungary,112,1,0
1980,Iceland,8,0,0
1980,Italy,96,2,0
1980,Latvia,0,0,0
1980,Netherlands,114,0,0
1980,North Macedonia,0,0,0
1980,Northern Ireland,106,3,0
1980,Norway,107,3,0
1980,Poland,78,0,0
1980,Portugal,75,2,0
1980,Republic of Ireland,52,0,0
1980,Romania,97,2,0
1980,Russia,121,2,0
1980,Scotland,169,8,0
1980,Serbia,0,0,0
1980,Slovakia,0,0,0
1980,Slovenia,0,0,0
1980,Spain,83,2,0
1980,Sweden,175,5,0
1980,Switzerland,56,1,0
1980,Turkey,36,2,0
1980,Ukraine,0,0,0
1980,Wales,100,4,0
1980,Yugoslavia,113,3,0
1981,Albania,13,0,0
1981,Austria,72,0,0
1981,Belgium,91,0,0
1981,Bulgaria,97,2,0
1981,Croatia,0,0,0
1981,Czech Republic,0,0,0
1981,Czechoslovakia,128,3,0
1981,Denmark,153,6,0
1981,England,213,6,0
1981,Finland,89,1,0
1981,France,85,1,0
1981,Georgia,0,0,0
1981,Germany,117,2,0
1981,Greece,67,2,0
1981,Hungary,112,1,0
1981,Iceland,12,0,0
1981,Italy,104,3,0
1981,Latvia,0,0,0
1981,Netherlands,119,0,0
1981,North Macedonia,0,0,0
1981,Northern Ireland,112,3,0
1981,Norway,117,4,0
1981,Poland,78,0,0
1981,Portugal,77,2,0
1981,Republic of Ireland,55,0,0
1981,Romania,104,3,0
1981,Russia,128,2,0
1981,Scotland,175,9,0
1981,Serbia,0,0,0
1981,Slovakia,0,0,0
1981,Slovenia,0,0,0
1981,Spain,85,2,0
1981,Sweden,177,5,0
1981,Switzerland,58,1,0
1981,Turkey,37,2,0
1981,Ukraine,0,0,0
1981,Wales,113,4,0
1981,Yugoslavia,118,3,0
1982,Albania,14,0,0
1982,Austria,80,0,0
1982,Belgium,96,0,0
1982,Bulgaria,103,2,0
1982,Croatia,0,0,0
1982,Czech Republic,0,0,0
1982,Czechoslovakia,141,3,0
1982,Denmark,166,7,0
1982,England,219,6,0
1982,Finland,97,1,0
1982,France,92,1,0
1982,Georgia,0,0,0
1982,Germany,147,2,0
1982,Greece,72,2,0
1982,Hungary,125,1,0
1982,Iceland,18,0,0
1982,Italy,108,3,0
1982,Latvia,0,0,0
1982,Netherlands,126,0,0
1982,North Macedonia,0,0,0
1982,Northern Ireland,114,3,0
1982,Norway,124,4,0
1982,Poland,78,0,0
1982,Portugal,80,2,0
1982,Republic of Ireland,60,0,0
1982,Romania,106,3,0
1982,Russia,141,2,0
1982,Scotland,182,10,0
1982,Serbia,0,0,0
1982,Slovakia,0,0,0
1982,Slovenia,0,0,0
1982,Spain,85,2,0
1982,Sweden,185,5,0
1982,Switzerland,65,1,0
1982,Turkey,37,2,0
1982,Ukraine,0,0,0
1982,Wales,118,4,0
1982,Yugoslavia,128,4,0
1983,Albania,14,0,0
1983,Austria,93,0,0
1983,Belgium,103,0,0
1983,Bulgaria,105,2,0
1983,Croatia,0,0,0
1983,Czech Republic,0,0,0
1983,Czechoslovakia,146,3,0
1983,Denmark,173,7,0
1983,England,235,7,0
1983,Finland,102,1,0
1983,France,104,1,0
1983,Georgia,0,0,0
1983,Germany,154,2,0
1983,Greece,72,2,0
1983,Hungary,126,1,0
1983,Iceland,19,0,0
1983,Italy,115,4,0
1983,Latvia,0,0,0
1983,Netherlands,129,0,0
1983,North Macedonia,0,0,0
1983,Northern Ireland,120,3,0
1983,Norway,133,5,0
1983,Poland,88,0,0
1983,Portugal,84,2,0
1983,Republic of Ireland,66,0,0
1983,Romania,108,3,0
1983,Russia,146,2,0
1983,Scotland,188,10,0
1983,Serbia,0,0,0
1983,Slovakia,0,0,0
1983,Slovenia,0,0,0
1983,Spain,92,2,0
1983,Sweden,188,5,0
1983,Switzerland,67,1,0
1983,Turkey,38,2,0
1983,Ukraine,0,0,0
1983,Wales,126,4,0
1983,Yugoslavia,135,4,0
1984,Albania,18,0,0
1984,Austria,97,0,0
1984,Belgium,105,0,0
1984,Bulgaria,110,2,0
1984,Croatia,0,0,0
1984,Czech Republic,0,0,0
1984,Czechoslovakia,150,3,0
1984,Denmark,180,7,0
1984,England,244,7,0
1984,Finland,103,1,0
1984,France,104,1,1
1984,Georgia,0,0,0
1984,Germany,169,2,0
1984,Greece,77,2,0
1984,Hungary,132,1,0
1984,Iceland,19,0,0
1984,Italy,115,4,0
1984,Latvia,0,0,0
1984,Netherlands,137,0,0
1984,North Macedonia,0,0,0
1984,Northern Ireland,129,4,0
1984,Norway,135,5,0
1984,Poland,90,0,0
1984,Portugal,91,2,0
1984,Republic of Ireland,71,0,0
1984,Romania,111,3,0
1984,Russia,155,2,0
1984,Scotland,193,10,0
1984,Serbia,0,0,0
1984,Slovakia,0,0,0
1984,Slovenia,0,0,0
1984,Spain,97,2,0
1984,Sweden,197,6,0
1984,Switzerland,72,1,0
1984,Turkey,45,2,0
1984,Ukraine,0,0,0
1984,Wales,130,4,0
1984,Yugoslavia,141,5,0
1985,Albania,23,1,0
1985,Austria,99,0,0
1985,Belgium,112,0,0
1985,Bulgaria,110,2,0
1985,Croatia,0,0,0
1985,Czech Republic,0,0,0
1985,Czechoslovakia,151,3,0
1985,Denmark,193,7,0
1985,England,259,7,0
1985,Finland,107,1,0
1985,France,119,1,0
1985,Georgia,0,0,0
1985,Germany,173,2,0
1985,Greece,78,2,0
1985,Hungary,137,1,0
1985,Iceland,21,0,0
1985,Italy,115,4,0
1985,Latvia,0,0,0
1985,Netherlands,138,0,0
1985,North Macedonia,0,0,0
1985,Northern Ireland,135,4,0
1985,Norway,137,5,0
1985,Poland,95,0,0
1985,Portugal,99,2,0
1985,Republic of Ireland,72,0,0
1985,Romania,115,3,0
1985,Russia,156,2,0
1985,Scotland,202,10,0
1985,Serbia,0,0,0
1985,Slovakia,0,0,0
1985,Slovenia,0,0,0
1985,Spain,105,2,0
1985,Sweden,200,6,0
1985,Switzerland,74,1,0
1985,Turkey,46,2,0
1985,Ukraine,0,0,0
1985,Wales,135,4,0
1985,Yugoslavia,143,5,0
1986,Albania,24,1,0
1986,Austria,100,0,0
1986,Belgium,118,0,0
1986,Bulgaria,114,2,0
1986,Croatia,0,0,0
1986,Czech Republic,0,0,0
1986,Czechoslovakia,157,3,0
1986,Denmark,206,7,0
1986,England,267,7,0
1986,Finland,110,1,0
1986,France,121,1,0
1986,Georgia,0,0,0
1986,Germany,184,2,0
1986,Greece,82,2,0
1986,Hungary,140,1,0
1986,Iceland,23,0,0
1986,Italy,115,4,0
1986,Latvia,0,0,0
1986,Netherlands,142,1,0
1986,North Macedonia,0,0,0
1986,Northern Ireland,138,4,0
1986,Norway,139,5,0
1986,Poland,100,0,0
1986,Portugal,101,2,0
1986,Republic of Ireland,76,0,0
1986,Romania,125,3,0
1986,Russia,171,3,0
1986,Scotland,205,11,0
1986,Serbia,0,0,0
1986,Slovakia,0,0,0
