nome_fifa_limpo,nome_ocidental_limpo,posicao,data_nascimento,clube,role...6,role...7,acted_as_sweeper,diving_save,goals_conceded,minutes_played,punches,saves,saves_inside_box,throws,accurate_passes,assists,chances_created,goals,pass_success,total_shots,blocked_shots,shot_accuracy,shot_off_target,shot_on_target,shots_woodwork,accurate_long_balls,crosses,key_passes,long_balls,passes,touches,aerials_lost,aerials_won,clearances,dispossessed,dribbles_attempted,dribbles_succeeded,duels_lost,duels_won,fouls,interceptions,recoveries,tackles_attempted,tackles_succeeded,was_fouled,is_a_sub,was_subbed,yellow_card,red_card,rating,name_limpo
paredes leandro,leandro daniel paredes,MF,1994-06-29,CA Boca Juniors (ARG),Midfielder,Midfielder,NA,NA,NA,90,NA,NA,NA,NA,14,0,0,0,78%,2,1,50%,0,1,0,0,1,0,0,18,30,1,0,0,1,2,0,5,1,1,0,0,0,0,1,0,NA,NA,NA,5.5,arnor sigurdsson
ryerson julian,julian ryerson,FW,1997-11-17,Borussia Dortmund (GER),Attacker,Attacker,NA,NA,NA,90,NA,NA,NA,NA,22,0,0,2,79%,6,1,33%,3,2,0,2,1,1,2,28,52,3,2,0,2,2,0,10,3,4,0,3,0,0,1,0,NA,NA,NA,8.2,duvan zapata
joseph lenny,lenny alvin pico joseph,FW,2000-10-12,Ferencvárosi TC (HUN),Attacker,Attacker,NA,NA,NA,67,NA,NA,NA,NA,14,0,0,0,70%,2,1,0%,1,0,0,1,0,1,1,20,25,6,2,0,1,2,1,9,3,2,0,2,0,0,0,0,1,NA,NA,5.6,anthony ujah
sanabria juan manuel,juan manuel sanabria magole,MF,2000-03-29,Real Salt Lake (USA),Midfielder,Midfielder,NA,NA,NA,17,NA,NA,NA,NA,6,0,0,0,86%,0,0,0%,0,0,0,0,0,0,0,7,13,1,0,0,2,1,0,4,0,1,0,2,0,0,0,1,0,NA,NA,5.5,amer gojak
pulisic christian,christian mate pulisic,FW,1998-09-18,AC Milan (ITA),Attacker,Attacker,NA,NA,NA,75,NA,NA,NA,NA,7,0,0,0,50%,2,1,50%,0,1,0,0,1,1,0,14,28,1,2,0,0,3,2,3,5,1,0,0,0,0,1,0,1,NA,NA,6.8,miguel angel guerrero
fernandez gatito,roberto junior fernandez torres,GK,1988-03-29,Cerro Porteño (PAR),Keeper,Keeper,0,1,0,90,0,3,1,6,12,NA,NA,NA,,0,0,0%,0,0,0,7,0,0,18,23,33,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,NA,NA,NA,7.3,aitor
boxall michael,michael joseph boxall,DF,1988-08-18,Minnesota United FC (USA),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,43,0,0,0,91%,2,1,50%,0,1,0,2,0,0,3,47,61,4,1,4,1,0,0,7,1,2,2,4,0,0,0,0,NA,1,NA,6.2,chris smalling
jovane cabral,jovane eduardo borges cabral,MF,1998-06-14,CF Estrela Da Amadora (POR),Midfielder,Midfielder,NA,NA,NA,10,NA,NA,NA,NA,5,0,0,0,83%,0,0,0%,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,6.1,javi garcia
langas sondre,sondre klingen langas,DF,2001-02-02,Derby County FC (ENG),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,31,0,0,0,89%,1,0,0%,1,0,0,4,0,0,7,35,48,3,1,5,0,0,0,4,2,1,2,2,0,0,1,0,NA,NA,NA,6.8,gabriel paulista
risser robin,robin francois philippe risser,GK,2004-12-02,RC Lens (FRA),Keeper,Keeper,0,3,0,90,0,4,1,3,11,NA,NA,NA,,0,0,0%,0,0,0,4,0,0,10,17,24,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,NA,NA,NA,7.3,paulo gazzaniga
khamdamov dostonbek,dostonbek khamdamov,MF,1996-07-24,Pakhtakor Tashkent FK (UZB),Midfielder,Midfielder,NA,NA,NA,90,NA,NA,NA,NA,20,0,0,0,59%,0,0,0%,0,0,0,0,0,1,2,34,51,0,1,1,0,2,2,5,8,4,3,10,5,4,0,0,NA,NA,NA,7.5,james mcarthur
moteb alharbi,moteb saad s alharbi,DF,2000-02-20,Al Hilal SC (KSA),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,77,0,0,0,85%,0,0,0%,0,0,0,7,0,0,11,91,103,2,4,3,0,1,1,4,7,1,4,6,1,1,1,0,NA,NA,NA,7.2,diego godin
fernandez-pardo matias,matias fernandez-pardo,FW,2005-02-03,Lille OSC (FRA),Attacker,Attacker,NA,NA,NA,45,NA,NA,NA,NA,9,0,0,0,69%,1,1,0%,0,0,0,0,0,0,0,13,17,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,1,NA,NA,7,sergio aguero
ahmed alganehi,ahmed mohamed h k alganehi,MF,2000-09-22,Al Gharafa SC (QAT),Midfielder,Midfielder,NA,NA,NA,90,NA,NA,NA,NA,49,0,0,0,96%,0,0,0%,0,0,0,3,4,1,4,51,65,1,1,1,0,1,1,2,3,1,0,7,1,1,0,0,NA,NA,NA,6.9,leonardo spinazzola
saelemaekers alexis,alexis jesse m saelemaekers,MF,1999-06-27,AC Milan (ITA),Midfielder,Midfielder,NA,NA,NA,75,NA,NA,NA,NA,20,0,0,0,87%,3,1,33%,1,1,0,3,1,0,3,23,47,0,0,0,3,6,3,10,9,0,0,7,4,3,2,0,1,NA,NA,6.5,toni villa
mpasi lionel,lionel nzau mpasi,GK,1994-08-01,Le Havre AC (FRA),Keeper,Keeper,0,1,0,90,0,2,1,3,24,NA,NA,NA,,0,0,0%,0,0,0,13,0,0,29,40,49,0,1,1,0,0,0,0,1,0,0,9,0,0,0,0,NA,1,NA,6.5,jordan pickford
seys joaquin,joaquin ronny seys,DF,2005-03-28,Club Brugge (BEL),Defender,Defender,NA,NA,NA,60,NA,NA,NA,NA,21,0,0,0,78%,0,0,0%,0,0,0,1,2,0,1,27,36,0,1,0,0,0,0,1,2,0,1,7,1,0,0,0,1,NA,NA,6.8,kiko
tarek alaa,tarek alaa abdelghaffar abdel elgebaly,DF,2002-01-05,ZED FC (EGY),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,26,0,0,0,87%,1,0,0%,1,0,0,4,0,0,7,30,43,0,2,8,0,0,0,0,2,0,1,2,0,0,0,0,NA,NA,NA,7.3,martin valjent
hernandez theo,theo bernard francois hernandez,DF,1997-10-06,Al Hilal SC (KSA),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,38,0,1,1,97%,4,1,25%,1,1,0,2,1,2,2,39,59,0,0,0,2,0,0,8,1,5,0,8,1,0,0,0,NA,NA,NA,7.5,yuri berchiche
ganiev azizjon,azizjon ganiev,MF,1998-02-22,Al Bataeh Club (UAE),Midfielder,Midfielder,NA,NA,NA,83,NA,NA,NA,NA,25,0,0,0,78%,1,0,0%,1,0,0,2,2,0,5,32,52,1,2,6,1,2,2,3,5,1,1,8,0,0,1,0,1,NA,NA,7.3,chang-hoon kwon
ayew jordan,jordan pierre ayew,FW,1991-09-11,Leicester City FC (ENG),Attacker,Attacker,NA,NA,NA,16,NA,NA,NA,NA,5,0,0,0,63%,1,1,0%,0,0,0,0,0,1,0,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,6,daniel podence
suzuki junnosuke,junnosuke suzuki,DF,2003-07-12,FC København (DEN),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,56,0,1,1,80%,1,0,100%,0,1,0,3,0,0,12,70,84,0,5,3,0,1,1,1,8,1,2,2,1,0,1,0,NA,NA,NA,7.5,ozan kabak
saleem obaid,saleem amer saleem obaid,DF,1992-01-17,Al Hussein SC (JOR),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,37,0,0,0,88%,0,0,0%,0,0,0,2,0,0,4,42,55,0,3,1,1,0,0,4,8,1,1,3,1,1,4,0,NA,NA,NA,6.6,gianluca mancini
tchouameni aurelien,aurelien djani tchouameni,MF,2000-01-27,Real Madrid C. F. (ESP),Midfielder,Midfielder,NA,NA,NA,84,NA,NA,NA,NA,16,0,0,0,73%,2,1,0%,0,0,0,0,1,2,2,22,41,2,1,0,2,1,0,10,3,2,3,6,2,2,0,0,1,NA,NA,6.3,trezeguet
ali lajami,ali mohammed a lajami,DF,1996-04-24,Al Hilal SC (KSA),Defender,Defender,NA,NA,NA,45,NA,NA,NA,NA,14,0,0,0,67%,1,1,0%,0,0,0,0,0,1,3,21,37,0,0,1,0,0,0,1,2,1,1,4,1,0,1,1,0,NA,NA,6.1,peter ankersen
baena alex,alejandro baena rodriguez,MF,2001-07-20,Atlético De Madrid (ESP),Midfielder,Midfielder,NA,NA,NA,70,NA,NA,NA,NA,13,0,0,0,81%,0,0,0%,0,0,0,2,0,0,2,16,27,0,1,1,1,1,0,5,5,3,1,6,2,1,2,0,1,NA,NA,6.1,yan brice eteki
schlager alexander,alexander schlager,GK,1996-02-01,FC Red Bull Salzburg (AUT),Keeper,Keeper,0,2,0,90,0,4,3,6,18,NA,NA,NA,,0,0,0%,0,0,0,1,0,0,4,21,32,0,0,1,0,0,0,1,0,0,0,8,0,0,0,0,NA,NA,NA,6.5,joel robles
alijonov khojiakbar,khojiakbar alijonov,DF,1997-04-19,Pakhtakor Tashkent FK (UZB),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,20,0,0,0,63%,0,0,0%,0,0,0,1,0,0,6,32,57,2,2,3,0,0,0,3,5,0,3,4,3,1,0,0,NA,NA,NA,6.9,lukas schmitz
sanchez davinson,davinson sanchez mina,DF,1996-06-12,Galatasaray SK (TUR),Defender,Defender,NA,NA,NA,60,NA,NA,NA,NA,16,0,0,0,73%,1,0,0%,1,0,0,2,0,0,2,22,40,0,1,2,0,1,0,3,3,1,2,3,1,1,1,0,1,NA,NA,7,stefan lainer
erlic martin,martin erlic,DF,1998-01-24,FC Midtjylland (DEN),Defender,Defender,NA,NA,NA,20,NA,NA,NA,NA,6,0,1,0,86%,0,0,0%,0,0,0,1,0,1,1,7,13,2,0,1,0,0,0,2,1,0,0,2,1,0,0,1,0,NA,NA,6.2,bruno martella
kanani hossein,mohammadhossein kanani zadegan,DF,1994-03-23,Persepolis FC (IRN),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,83,0,0,0,93%,0,0,0%,0,0,0,0,0,0,0,89,104,2,4,3,0,0,0,4,7,1,3,3,3,2,0,0,NA,NA,NA,7.8,nicolas otamendi
roefs robin,robin gerardus petrus roefs,GK,2003-01-17,Sunderland AFC (ENG),Keeper,Keeper,0,0,0,90,0,4,3,12,18,NA,NA,NA,,0,0,0%,0,0,0,7,0,0,13,24,45,0,1,1,0,0,0,0,1,0,0,14,0,0,0,0,NA,NA,NA,7.7,tomas vaclik
berhalter sebastian,sebastian matthew berhalter,MF,2001-05-10,Vancouver Whitecaps FC (CAN),Midfielder,Midfielder,NA,NA,NA,90,NA,NA,NA,NA,85,0,0,0,89%,0,0,0%,0,0,0,2,5,3,4,96,119,0,0,0,1,4,3,6,6,0,2,15,1,1,2,0,NA,NA,NA,7.8,giovani lo celso
de fougerolles luc,luc rollet de fougerolles,DF,2005-10-12,FCV Dender EH (BEL),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,74,0,0,0,86%,0,0,0%,0,0,0,3,0,0,7,86,94,1,4,1,0,2,2,2,8,1,1,10,2,2,0,0,NA,NA,NA,7.6,federico fazio
casimir josue,josue jeremie casimir,FW,2001-09-24,AJ Auxerre (FRA),Attacker,Attacker,NA,NA,NA,90,NA,NA,NA,NA,21,0,0,0,81%,3,1,33%,1,1,0,3,2,3,4,26,49,1,2,0,0,2,0,7,7,3,0,5,2,1,3,0,NA,1,NA,6.8,federico chiesa
tagnaouti ahmed reda,ahmed reda tagnaouti,GK,1996-04-05,ASFAR (MAR),Keeper,Keeper,0,0,0,90,0,1,0,3,13,NA,NA,NA,,0,0,0%,0,0,0,10,0,0,19,22,28,0,1,1,0,0,0,0,1,0,0,6,0,0,0,0,NA,NA,NA,6.9,ivan cuellar
diogo dalot,jose diogo dalot teixeira,DF,1999-03-18,Manchester United FC (ENG),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,15,0,1,0,54%,2,1,50%,0,1,0,2,0,1,9,28,48,1,2,2,1,0,0,5,3,2,3,7,1,1,0,0,NA,NA,NA,7.1,phil bardsley
jackson nicolas,nicolas jackson,FW,2001-06-20,FC Bayern München (GER),Attacker,Attacker,NA,NA,NA,6,NA,NA,NA,NA,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,luka jovic
feras albrikan,feras tariq n albrikan,FW,2000-05-14,Al Ahli FC (KSA),Attacker,Attacker,NA,NA,NA,86,NA,NA,NA,NA,26,0,1,3,76%,6,1,67%,1,4,0,6,0,2,7,34,50,0,2,0,0,1,1,3,5,2,0,2,1,0,1,0,1,NA,NA,9.7,claudiu keseru
toure bazoumana,bazoumana toure,FW,2006-03-02,TSG Hoffenheim (GER),Attacker,Attacker,NA,NA,NA,90,NA,NA,NA,NA,9,0,0,0,41%,1,0,0%,1,0,0,0,0,0,0,22,28,18,5,0,0,0,0,20,5,1,0,1,0,0,0,0,NA,NA,NA,4.6,troy deeney
coemert eray,eray ervin comert,DF,1998-02-04,Valencia CF (ESP),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,69,0,0,0,93%,0,0,0%,0,0,0,12,0,0,16,74,89,2,0,5,2,0,0,5,2,0,1,4,2,1,0,0,NA,NA,NA,6,naldo
sanchez jorge,jorge eduardo sanchez ramos,DF,1997-12-10,PAOK Saloniki (GRE),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,59,0,0,0,94%,0,0,0%,0,0,0,2,1,0,4,63,78,1,2,9,0,0,0,1,2,0,2,6,0,0,0,0,NA,NA,NA,7.4,chris smalling
valle gonzalo,gonzalo roberto valle bustamante,GK,1996-02-28,LDU Quito (ECU),Keeper,Keeper,0,1,0,90,0,2,2,5,13,NA,NA,NA,,0,0,0%,0,0,0,5,0,0,17,25,37,0,1,1,0,0,0,0,1,0,0,10,0,0,0,0,NA,NA,NA,7.1,rui silva
araujo ronald,ronald federico araujo da silva,DF,1999-03-07,FC Barcelona (ESP),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,24,0,0,0,89%,0,0,0%,0,0,0,2,0,0,4,27,44,0,0,8,0,1,1,0,5,1,2,5,2,2,2,0,NA,NA,NA,6.9,christoph zimmermann
mina yerry,yerry fernando mina gonzalez,DF,1994-09-23,Cagliari (ITA),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,31,0,1,0,76%,1,0,0%,1,0,0,4,0,1,6,41,57,0,0,1,0,0,0,2,3,2,1,4,2,2,1,0,NA,NA,NA,7,matthias zimmermann
paez kendry,ray kendry paez andrade,MF,2007-05-04,CA River Plate (ARG),Midfielder,Midfielder,NA,NA,NA,62,NA,NA,NA,NA,22,0,0,0,79%,1,1,0%,0,0,0,3,8,5,3,28,48,0,0,1,1,3,3,3,5,2,2,6,2,1,0,0,1,NA,NA,7.4,kerem demirbay
mahmoud almardi,mahmoud nayef ahmad almardi,FW,1993-10-06,Al Hussein SC (JOR),Attacker,Attacker,NA,NA,NA,11,NA,NA,NA,NA,2,0,0,0,100%,0,0,0%,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,NA,NA,5.8,nikola kalinic
fruk toni,toni fruk,MF,2001-03-09,HNK Rijeka (CRO),Midfielder,Midfielder,NA,NA,NA,90,NA,NA,NA,NA,34,0,1,1,76%,4,2,25%,1,1,0,1,0,0,1,45,73,2,5,0,4,3,2,10,8,0,2,4,1,0,0,0,NA,NA,NA,7.7,dele alli
diaz luis,luis fernando diaz marulanda,FW,1997-01-13,FC Bayern München (GER),Attacker,Attacker,NA,NA,NA,90,NA,NA,NA,NA,27,1,1,0,71%,3,2,0%,1,0,0,4,0,1,5,38,72,1,4,2,0,4,1,11,14,2,1,4,4,1,5,0,NA,1,NA,7.5,emerson
mohammed abu alshamat,mohammed waheeb s abu alshamat,DF,2002-08-11,Al Qadsiah FC (KSA),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,25,0,0,0,76%,0,0,0%,0,0,0,5,0,0,7,33,46,0,2,7,0,0,0,2,3,1,3,5,1,1,0,0,NA,NA,NA,7,neven subotic
stiller angelo,angelo nicolas stiller,MF,2001-04-04,VfB Stuttgart (GER),Midfielder,Midfielder,NA,NA,NA,84,NA,NA,NA,NA,11,1,0,0,58%,0,0,0%,0,0,0,0,0,1,2,19,33,3,1,1,0,5,3,7,9,0,0,4,1,0,4,0,1,NA,NA,7.7,lucas moura
pierrot frantzdy,frantzdy pierrot,FW,1995-03-29,Çaykur Rizespor (TUR),Attacker,Attacker,NA,NA,NA,68,NA,NA,NA,NA,6,0,0,0,50%,0,0,0%,0,0,0,0,1,2,0,12,28,3,0,0,1,2,1,7,2,0,1,3,0,0,1,0,1,NA,NA,6.1,lucas holer
robertson andy,andrew henry robertson,DF,1994-03-11,Liverpool FC (ENG),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,19,0,0,0,73%,2,1,50%,0,1,0,0,3,2,2,26,50,0,0,0,0,1,0,2,1,1,1,4,0,0,1,0,NA,1,NA,6,carlos neva
cacace liberato,liberato gianpaolo cacace,DF,2000-09-27,Wrexham AFC (WAL),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,51,0,0,0,81%,2,1,0%,0,0,0,7,1,0,10,63,88,0,2,1,0,1,1,0,8,0,2,10,2,2,3,0,NA,1,NA,6.9,yuri berchiche
holes tomas,tomas holes,DF,1993-03-31,SK Slavia Praha (CZE),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,45,0,0,0,78%,1,0,0%,1,0,0,9,0,0,13,58,66,2,12,3,0,0,0,3,12,1,1,3,0,0,1,0,NA,NA,NA,6.5,bruno alves
plata gonzalo,gonzalo jordy plata jimenez,FW,2000-11-01,CR Flamengo (BRA),Attacker,Attacker,NA,NA,NA,62,NA,NA,NA,NA,16,0,0,0,84%,0,0,0%,0,0,0,0,1,1,1,19,35,1,0,0,3,1,0,9,4,2,0,6,2,1,2,0,1,NA,NA,6,diogo jota
trafford james,james harrington trafford,GK,2002-10-10,Manchester City FC (ENG),Keeper,Keeper,0,0,0,90,0,1,1,5,30,NA,NA,NA,,0,0,0%,0,0,0,2,0,0,5,33,42,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,NA,NA,NA,7.6,lukas hradecky
mostafa zico,mostafa mohamed zaky abdelraouf,MF,1997-04-27,Pyramids FC (EGY),Midfielder,Midfielder,NA,NA,NA,90,NA,NA,NA,NA,84,0,0,0,89%,0,0,0%,0,0,0,7,0,1,12,94,96,1,0,1,0,0,0,1,1,0,0,4,0,0,1,0,NA,NA,NA,6.8,makoto hasebe
arias jhon,jhon adolfo arias andrade,MF,1997-09-21,SE Palmeiras (BRA),Midfielder,Midfielder,NA,NA,NA,1,NA,NA,NA,NA,1,0,0,0,100%,0,0,0%,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,NA,NA,NA,borja valero
sosa ramon,ramon sosa acosta,MF,1999-08-31,SE Palmeiras (BRA),Midfielder,Midfielder,NA,NA,NA,90,NA,NA,NA,NA,31,0,0,0,91%,2,2,0%,0,0,0,3,1,1,3,34,49,0,3,1,0,2,0,2,3,0,1,4,0,0,0,0,NA,NA,NA,6.9,patrik hrosovsky
muharemovic tarik,tarik muharemovic,DF,2003-02-28,US Sassuolo (ITA),Defender,Defender,NA,NA,NA,29,NA,NA,NA,NA,7,0,1,1,78%,2,0,50%,1,1,0,0,2,0,1,9,15,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,NA,NA,7.3,john lundstram
zidane luca,luca zinedine zidane,GK,1998-05-13,Granada CF (ESP),Keeper,Keeper,0,0,2,90,0,0,0,2,14,NA,NA,NA,,0,0,0%,0,0,0,6,0,0,10,18,21,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,NA,NA,NA,5,aaron ramsdale
zubimendi martin,martin zubimendi ibanez,MF,1999-02-02,Arsenal FC (ENG),Midfielder,Midfielder,NA,NA,NA,7,NA,NA,NA,NA,1,0,0,0,33%,0,0,0%,0,0,0,0,0,0,0,3,5,0,0,0,0,1,1,2,2,2,0,2,0,0,1,1,0,1,NA,NA,ferran torres
gomez andres,carlos andres gomez hinestroza,FW,2002-09-12,CR Vasco Da Gama (BRA),Attacker,Attacker,NA,NA,NA,90,NA,NA,NA,NA,14,1,0,1,61%,3,0,67%,1,2,0,0,0,1,0,23,36,0,3,1,2,2,2,3,5,1,0,3,0,0,0,0,NA,NA,NA,8.3,andraz sporar
tangvik sander,sander tangvik,GK,2002-11-29,Hamburger SV (GER),Keeper,Keeper,0,3,0,90,0,6,4,3,29,NA,NA,NA,,0,0,0%,0,0,0,11,0,0,22,40,50,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,NA,NA,NA,8.4,mark flekken
portilla juan,juan camilo portilla orozco,MF,1998-09-12,Athletico Paranaense (BRA),Midfielder,Midfielder,NA,NA,NA,90,NA,NA,NA,NA,62,0,1,1,90%,2,1,50%,0,1,0,1,0,2,1,69,78,0,2,0,0,2,1,3,3,1,2,8,0,0,0,0,NA,NA,NA,8,ilkay gundogan
bentancur rodrigo,rodrigo bentancur colman,MF,1997-06-25,Tottenham Hotspur FC (ENG),Midfielder,Midfielder,NA,NA,NA,71,NA,NA,NA,NA,12,0,0,0,63%,0,0,0%,0,0,0,1,0,0,4,19,23,2,5,1,0,0,0,3,6,1,0,5,1,0,0,0,1,NA,NA,6.3,ander iturraspe
gutierrez jorge,jorge abdiel gutierrez cornejo,DF,1998-09-01,Deportivo La Guaira (VEN),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,48,0,0,0,86%,0,0,0%,0,0,0,2,9,3,3,56,81,3,0,1,0,0,0,3,1,0,0,2,1,1,0,0,NA,NA,NA,7,xavi quintilla
ahmed alkassar,ahmed ali h alkassar,GK,1991-05-08,Al Qadsiah FC (KSA),Keeper,Keeper,0,0,0,90,2,3,3,4,22,NA,NA,NA,,0,0,0%,0,0,0,3,0,0,18,38,47,0,1,2,0,0,0,0,1,0,0,7,0,0,0,0,NA,1,NA,7.3,tim krul
mudau khuliso,khuliso johnson mudau,DF,1995-04-26,Mamelodi Sundowns FC (RSA),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,26,0,0,0,70%,0,0,0%,0,0,0,1,0,1,7,37,56,2,5,9,0,0,0,3,10,1,1,5,2,1,3,0,NA,NA,NA,7.5,steve cook
akturkoglu kerem,muhammed kerem akturkoglu,FW,1998-10-21,Fenerbahçe SK (TUR),Attacker,Attacker,NA,NA,NA,90,NA,NA,NA,NA,23,0,0,0,77%,0,0,0%,0,0,0,0,4,2,0,30,41,1,0,0,0,0,0,4,1,3,1,3,0,0,1,0,NA,NA,NA,6.1,percy tau
lucumi jhon,jhon janer lucumi bonilla,DF,1998-06-26,Bologna FC (ITA),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,33,0,0,0,83%,0,0,0%,0,0,0,1,2,1,4,40,62,1,1,0,2,0,0,3,3,0,1,12,2,2,0,0,NA,NA,NA,5.1,tommaso augello
stewart ross,ross cameron stewart,FW,1996-07-11,Southampton FC (ENG),Attacker,Attacker,NA,NA,NA,8,NA,NA,NA,NA,2,0,0,0,67%,0,0,0%,0,0,0,0,0,0,0,3,6,1,2,0,0,0,0,2,2,1,0,0,0,0,0,1,0,NA,NA,NA,sergio cordova
circati alessandro,alessandro circati,DF,2003-10-10,Parma (ITA),Defender,Defender,NA,NA,NA,89,NA,NA,NA,NA,26,0,0,0,87%,0,0,0%,0,0,0,1,1,0,1,30,47,0,2,0,0,2,1,2,6,1,3,2,1,0,2,0,1,1,NA,7.3,yuri berchiche
